Custom_Account,JPM_Account,Statement_Date,Currency,Opening_Balance,Commission,Option_Premium,Journal_Items,Gross_Realised_Profit_Loss,Closing_Balance,Open_Trade_Equity,Total_Equity,Net_Market_Value_of_Options,Initial_Margin_Requirement,Maintenance_Margin_Requirement,Margin_Value_Securities,AFR_Excess_Cash_Equity,Net_Liquidating_Value,Conversion_Rate,Conv_Net_Liquidating_Value,account_type,custom_account_name,japanese_initial_requirement,jpm_account_name,Stmnt_Recap_Cat_Description,transaction_source_type,Pending Cash Total,Pending Trade Date Balance,Pending Incremental EXC/DEF
31918,31918,2-Jan-20,{Conv Tot},-1552002.6,0,0,0,0,-1552002.6,0,-1552002.6,0,0,0,0,-1552002.6,-1552002.6,1,-1552002.6,Converted Total,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,** COMPUTED TOTAL **,FINAL,0,-1552002.6,-1552002.6
31918,31918,2-Jan-20,USD,-1552002.6,0,0,0,0,-1552002.6,0,-1552002.6,0,0,0,0,-1552002.6,-1552002.6,1,-1552002.6,USD               SG,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,**US$ US EXCHANGES**,FINAL,0,-1552002.6,-1552002.6
31919,31919,2-Jan-20,{Conv Tot},-121752.19,0,0,0,0,-121752.19,82550,-39202.19,0,0,0,0,-39202.19,-39202.19,1,-39202.19,Converted Total,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,** COMPUTED TOTAL **,FINAL,0,-39202.19,-39202.19
31919,31919,2-Jan-20,USD,-121752.19,0,0,0,0,-121752.19,82550,-39202.19,0,0,0,0,-39202.19,-39202.19,1,-39202.19,USD               SG,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,**US$ US EXCHANGES**,FINAL,0,-39202.19,-39202.19
31921,31921,2-Jan-20,{Conv Tot},-4794411.07,0,0,0,0,-4794411.07,-176350,-4970761.07,0,427970,427970,0,-5398731.07,-4970761.07,1,-4970761.07,Converted Total,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,** COMPUTED TOTAL **,FINAL,0,-4970761.07,-5398731.07
31921,31921,2-Jan-20,USD,-4794411.07,0,0,0,0,-4794411.07,-176350,-4970761.07,0,427970,427970,0,-5398731.07,-4970761.07,1,-4970761.07,USD               SG,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,**US$ US EXCHANGES**,FINAL,0,-4970761.07,-5398731.07
31922,31922,2-Jan-20,{Conv Tot},-244164526.9,0,0,0,0,-244164526.9,0,-244164526.9,0,0,0,0,-244164526.9,-244164526.9,1,-244164526.9,Converted Total,CHINAOIL (HK) CORPORATION LTD,0,CHINAOIL (HK) CORPORATION LTD,** COMPUTED TOTAL **,FINAL,0,-244164526.9,-244164526.9
31922,31922,2-Jan-20,USD,-244164526.9,0,0,0,0,-244164526.9,0,-244164526.9,0,0,0,0,-244164526.9,-244164526.9,1,-244164526.9,USD               SG,CHINAOIL (HK) CORPORATION LTD,0,CHINAOIL (HK) CORPORATION LTD,**US$ US EXCHANGES**,FINAL,0,-244164526.9,-244164526.9
3192C,3192C,2-Jan-20,{Conv Tot},17028341.66,0,0,-7990458.21,0,9037883.45,0,9037883.45,0,0,0,0,9037883.45,9037883.45,1,9037883.45,Converted Total,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,** COMPUTED TOTAL **,FINAL,0,9037883.45,9037883.45
3192C,3192C,2-Jan-20,USD,17028341.66,0,0,-7990458.21,0,9037883.45,0,9037883.45,0,0,0,0,9037883.45,9037883.45,1,9037883.45,USD               SG,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,**US$ US EXCHANGES**,FINAL,0,9037883.45,9037883.45
31930,31930,2-Jan-20,{Conv Tot},14275402.12,-589.33,0,0,688318.5,14963131.29,-11841559.75,3121571.54,0,11090238,11090238,0,-7968666.46,3121571.54,1,3121571.54,Converted Total,PETROCHINA INTL (SG) PTE LTD,0,PETROCHINA INTL (SG) PTE LTD,** COMPUTED TOTAL **,FINAL,0,3121571.54,-7968666.46
31930,31930,2-Jan-20,USD,511151,0,0,0,0,511151,0,511151,0,0,0,0,511151,511151,1,511151,USD               NS,PETROCHINA INTL (SG) PTE LTD,0,PETROCHINA INTL (SG) PTE LTD,*US$ NON-US EXCHANGES*,FINAL,0,511151,511151
31930,31930,2-Jan-20,USD,13764251.12,-589.33,0,0,688318.5,14451980.29,-11841559.75,2610420.54,0,11090238,11090238,0,-8479817.46,2610420.54,1,2610420.54,USD               SG,PETROCHINA INTL (SG) PTE LTD,0,PETROCHINA INTL (SG) PTE LTD,**US$ US EXCHANGES**,FINAL,0,2610420.54,-8479817.46
31931,31931,2-Jan-20,{Conv Tot},-26291380.98,-116.5,0,0,-106530,-26398027.48,-796350.5,-27194377.98,0,2673304,2673304,0,-29867681.98,-27194377.98,1,-27194377.98,Converted Total,PETROCHINA INTL (SG) PTE LTD,0,PETROCHINA INTL (SG) PTE LTD,** COMPUTED TOTAL **,FINAL,0,-27194377.98,-29867681.98
31931,31931,2-Jan-20,GBP,-23.63,0,0,0,0,-23.63,0,-23.63,0,0,0,0,-23.63,-23.63,1.31875,-31.16,BRITISH POUNDS-LIFFE,PETROCHINA INTL (SG) PTE LTD,0,PETROCHINA INTL (SG) PTE LTD,** BRITISH POUNDS **,FINAL,0,-23.63,-23.63
31931,31931,2-Jan-20,USD,-26291349.82,-116.5,0,0,-106530,-26397996.32,-796350.5,-27194346.82,0,2673304,2673304,0,-29867650.82,-27194346.82,1,-27194346.82,USD               SG,PETROCHINA INTL (SG) PTE LTD,0,PETROCHINA INTL (SG) PTE LTD,**US$ US EXCHANGES**,FINAL,0,-27194346.82,-29867650.82
31932,31932,2-Jan-20,{Conv Tot},9564098.35,0,0,0,-5750,9558348.35,-296425,9261923.35,0,134868,134868,0,9127055.35,9261923.35,1,9261923.35,Converted Total,PETROCHINA INTL (SG) PTE LTD,0,PETROCHINA INTL (SG) PTE LTD,** COMPUTED TOTAL **,FINAL,0,9261923.35,9127055.35
