Custom_Account,JPM_Account,Statement_Date,Currency,Opening_Balance,Commission,Option_Premium,Journal_Items,Gross_Realised_Profit_Loss,Closing_Balance,Open_Trade_Equity,Total_Equity,Net_Market_Value_of_Options,Initial_Margin_Requirement,Maintenance_Margin_Requirement,Margin_Value_Securities,AFR_Excess_Cash_Equity,Net_Liquidating_Value,Conversion_Rate,Conv_Net_Liquidating_Value,account_type,custom_account_name,japanese_initial_requirement,jpm_account_name,Stmnt_Recap_Cat_Description,transaction_source_type,Pending Cash Total,Pending Trade Date Balance,Pending Incremental EXC/DEF
39361,39361,2-Jan-20,{Conv Tot},2143755.81,0,0,0,0,2143755.81,4053941.88,6197697.69,0,110035,110035,0,6087662.69,6197697.69,1,6197697.69,Converted Total,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,** COMPUTED TOTAL **,FINAL,0,6197697.69,6087662.69
39361,39361,2-Jan-20,USD,2143755.81,0,0,0,0,2143755.81,4053941.88,6197697.69,0,110035,110035,0,6087662.69,6197697.69,1,6197697.69,USD               SG,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,**US$ US EXCHANGES**,FINAL,0,6197697.69,6087662.69
39370,39370,2-Jan-20,{Conv Tot},55860.5,0,0,0,0,55860.5,0,55860.5,0,0,0,0,55860.5,55860.5,1,55860.5,Converted Total,PETROCHINA INTL (SG) PTE LTD,0,PETROCHINA INTL (SG) PTE LTD,** COMPUTED TOTAL **,FINAL,0,55860.5,55860.5
39370,39370,2-Jan-20,USD,55860.5,0,0,0,0,55860.5,0,55860.5,0,0,0,0,55860.5,55860.5,1,55860.5,USD               SG,PETROCHINA INTL (SG) PTE LTD,0,PETROCHINA INTL (SG) PTE LTD,**US$ US EXCHANGES**,FINAL,0,55860.5,55860.5
4298C,4298C,2-Jan-20,{Conv Tot},13118998.88,0,0,12361.19,0,13131360.07,0,13131360.07,0,0,0,0,13131360.07,13131360.07,1,13131360.07,Converted Total,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** COMPUTED TOTAL **,FINAL,0,13131360.07,13131360.07
4298C,4298C,2-Jan-20,EUR,-0.19,0,0,0,0,-0.19,0,-0.19,0,0,0,0,-0.19,-0.19,1.1201,-0.21,NON-SEG EURO,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,* 30.7 SECURED EUR *,FINAL,0,-0.19,-0.19
4298C,4298C,2-Jan-20,USD,-1.82,0,0,12361.19,0,12359.37,0,12359.37,0,0,0,0,12359.37,12359.37,1,12359.37,NON-SEGREGATED USD,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,* 30.7 SECURED USD *,FINAL,0,12359.37,12359.37
4298C,4298C,2-Jan-20,USD,13119000.88,0,0,0,0,13119000.88,0,13119000.88,0,0,0,0,13119000.88,13119000.88,1,13119000.88,SEGREGATED - USD,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** US SEG USD **,FINAL,0,13119000.88,13119000.88
4298C,4298C,2-Jan-20,ZAR,0.47,0,0,0,0,0.47,0,0.47,0,0,0,0,0.47,0.47,0.07115411,0.03,SOUTH AFRICAN RAND,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,* 30.7 SECURED ZAR *,FINAL,0,0.47,0.47
4A084,4A084,2-Jan-20,{Conv Tot},247,0,0,0,0,247,0,247,0,0,0,0,247,247,1,247,Converted Total,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** COMPUTED TOTAL **,FINAL,0,247,247
