Custom_Account,JPM_Account,Statement_Date,Currency,Opening_Balance,Commission,Option_Premium,Journal_Items,Gross_Realised_Profit_Loss,Closing_Balance,Open_Trade_Equity,Total_Equity,Net_Market_Value_of_Options,Initial_Margin_Requirement,Maintenance_Margin_Requirement,Margin_Value_Securities,AFR_Excess_Cash_Equity,Net_Liquidating_Value,Conversion_Rate,Conv_Net_Liquidating_Value,account_type,custom_account_name,japanese_initial_requirement,jpm_account_name,Stmnt_Recap_Cat_Description,transaction_source_type,Pending Cash Total,Pending Trade Date Balance,Pending Incremental EXC/DEF
4A772,4A772,1-Jan-20,{Conv Tot},294.63,0,0,0,0,294.63,0,294.63,0,0,0,0,294.63,294.63,1,294.63,Converted Total,PETROCHINA INTL (AMERICA) INC.,0,PETROCHINA INTL (AMERICA) INC.,** COMPUTED TOTAL **,FINAL,0,294.63,294.63
4A772,4A772,1-Jan-20,USD,294.63,0,0,0,0,294.63,0,294.63,0,0,0,0,294.63,294.63,1,294.63,SEGREGATED - USD,PETROCHINA INTL (AMERICA) INC.,0,PETROCHINA INTL (AMERICA) INC.,** US SEG USD **,FINAL,0,294.63,294.63
4B318,4B318,1-Jan-20,{Conv Tot},-165345419.8,0,0,0,0,-165345419.8,-1649192.25,-166994612,0,3904731,3904731,0,-170899343,-166994612,1,-166994612,Converted Total,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** COMPUTED TOTAL **,FINAL,0,-166994612,-170899343
4B318,4B318,1-Jan-20,USD,-1501474.18,0,0,0,0,-1501474.18,0,-1501474.18,0,0,0,0,-1501474.18,-1501474.18,1,-1501474.18,NON-SEGREGATED USD,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,* 30.7 SECURED USD *,FINAL,0,-1501474.18,-1501474.18
4B318,4B318,1-Jan-20,USD,-163843945.6,0,0,0,0,-163843945.6,-1649192.25,-165493137.9,0,3904731,3904731,0,-169397868.9,-165493137.9,1,-165493137.9,SEGREGATED - USD,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** US SEG USD **,FINAL,0,-165493137.9,-169397868.9
4B443,4B443,1-Jan-20,{Conv Tot},2110616.07,0,0,0,0,2110616.07,-4201840,-2091223.93,227000,6890491,6890491,0,-8981714.93,-1864223.93,1,-1864223.93,Converted Total,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** COMPUTED TOTAL **,FINAL,0,-2091223.93,-8981714.93
4B443,4B443,1-Jan-20,USD,2110616.07,0,0,0,0,2110616.07,-4201840,-2091223.93,227000,6890491,6890491,0,-8981714.93,-1864223.93,1,-1864223.93,SEGREGATED - USD,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** US SEG USD **,FINAL,0,-2091223.93,-8981714.93
4B459,4B459,1-Jan-20,{Conv Tot},-5044801.28,0,0,0,0,-5044801.28,137080,-4907721.28,0,64800,64800,0,-4972521.28,-4907721.28,1,-4907721.28,Converted Total,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** COMPUTED TOTAL **,FINAL,0,-4907721.28,-4972521.28
4B459,4B459,1-Jan-20,USD,-5044801.28,0,0,0,0,-5044801.28,137080,-4907721.28,0,64800,64800,0,-4972521.28,-4907721.28,1,-4907721.28,SEGREGATED - USD,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** US SEG USD **,FINAL,0,-4907721.28,-4972521.28
4B460,4B460,1-Jan-20,{Conv Tot},-2434144.52,0,0,0,0,-2434144.52,0,-2434144.52,0,0,0,0,-2434144.52,-2434144.52,1,-2434144.52,Converted Total,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** COMPUTED TOTAL **,FINAL,0,-2434144.52,-2434144.52
4B460,4B460,1-Jan-20,USD,-2434144.52,0,0,0,0,-2434144.52,0,-2434144.52,0,0,0,0,-2434144.52,-2434144.52,1,-2434144.52,SEGREGATED - USD,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** US SEG USD **,FINAL,0,-2434144.52,-2434144.52
4C241,4C241,1-Jan-20,{Conv Tot},187788699.3,0,0,0,0,187788699.3,0,187788699.3,0,0,0,0,187788699.3,187788699.3,1,187788699.3,Converted Total,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** COMPUTED TOTAL **,FINAL,0,187788699.3,187788699.3
4C241,4C241,1-Jan-20,USD,1501474.18,0,0,0,0,1501474.18,0,1501474.18,0,0,0,0,1501474.18,1501474.18,1,1501474.18,NON-SEGREGATED USD,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,* 30.7 SECURED USD *,FINAL,0,1501474.18,1501474.18
4C241,4C241,1-Jan-20,USD,186287225.1,0,0,0,0,186287225.1,0,186287225.1,0,0,0,0,186287225.1,186287225.1,1,186287225.1,SEGREGATED - USD,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** US SEG USD **,FINAL,0,186287225.1,186287225.1
71304,71304,1-Jan-20,{Conv Tot},2402059.1,0,0,0,0,2402059.1,854400.01,3256459.11,0,0,0,0,3256459.11,3256459.11,1,3256459.11,Converted Total,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,** COMPUTED TOTAL **,FINAL,0,3256459.11,3256459.11
71304,71304,1-Jan-20,USD,2402059.1,0,0,0,0,2402059.1,854400.01,3256459.11,0,0,0,0,3256459.11,3256459.11,1,3256459.11,USD               SG,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,**US$ US EXCHANGES**,FINAL,0,3256459.11,3256459.11
