Custom_Account,JPM_Account,Statement_Date,Currency,Opening_Balance,Commission,Option_Premium,Journal_Items,Gross_Realised_Profit_Loss,Closing_Balance,Open_Trade_Equity,Total_Equity,Net_Market_Value_of_Options,Initial_Margin_Requirement,Maintenance_Margin_Requirement,Margin_Value_Securities,AFR_Excess_Cash_Equity,Net_Liquidating_Value,Conversion_Rate,Conv_Net_Liquidating_Value,account_type,custom_account_name,japanese_initial_requirement,jpm_account_name,Stmnt_Recap_Cat_Description,transaction_source_type,Pending Cash Total,Pending Trade Date Balance,Pending Incremental EXC/DEF
31922,31922,1-Jan-20,{Conv Tot},-244164526.9,0,0,0,0,-244164526.9,0,-244164526.9,0,0,0,0,-244164526.9,-244164526.9,1,-244164526.9,Converted Total,CHINAOIL (HK) CORPORATION LTD,0,CHINAOIL (HK) CORPORATION LTD,** COMPUTED TOTAL **,FINAL,0,-244164526.9,-244164526.9
31922,31922,1-Jan-20,USD,-244164526.9,0,0,0,0,-244164526.9,0,-244164526.9,0,0,0,0,-244164526.9,-244164526.9,1,-244164526.9,USD               SG,CHINAOIL (HK) CORPORATION LTD,0,CHINAOIL (HK) CORPORATION LTD,**US$ US EXCHANGES**,FINAL,0,-244164526.9,-244164526.9
3192C,3192C,1-Jan-20,{Conv Tot},17028341.66,0,0,0,0,17028341.66,0,17028341.66,0,0,0,0,17028341.66,17028341.66,1,17028341.66,Converted Total,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,** COMPUTED TOTAL **,FINAL,0,17028341.66,17028341.66
3192C,3192C,1-Jan-20,USD,17028341.66,0,0,0,0,17028341.66,0,17028341.66,0,0,0,0,17028341.66,17028341.66,1,17028341.66,USD               SG,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,**US$ US EXCHANGES**,FINAL,0,17028341.66,17028341.66
31930,31930,1-Jan-20,{Conv Tot},14275402.12,0,0,0,0,14275402.12,-10284671.25,3990730.87,0,10289324,10289324,0,-6298593.13,3990730.87,1,3990730.87,Converted Total,PETROCHINA INTL (SG) PTE LTD,0,PETROCHINA INTL (SG) PTE LTD,** COMPUTED TOTAL **,FINAL,0,3990730.87,-6298593.13
31930,31930,1-Jan-20,USD,511151,0,0,0,0,511151,0,511151,0,0,0,0,511151,511151,1,511151,USD               NS,PETROCHINA INTL (SG) PTE LTD,0,PETROCHINA INTL (SG) PTE LTD,*US$ NON-US EXCHANGES*,FINAL,0,511151,511151
31930,31930,1-Jan-20,USD,13764251.12,0,0,0,0,13764251.12,-10284671.25,3479579.87,0,10289324,10289324,0,-6809744.13,3479579.87,1,3479579.87,USD               SG,PETROCHINA INTL (SG) PTE LTD,0,PETROCHINA INTL (SG) PTE LTD,**US$ US EXCHANGES**,FINAL,0,3479579.87,-6809744.13
31931,31931,1-Jan-20,{Conv Tot},-26291381.12,0,0,0,0,-26291381.12,-955490.5,-27246871.62,0,2200619,2200619,0,-29447490.62,-27246871.62,1,-27246871.62,Converted Total,PETROCHINA INTL (SG) PTE LTD,0,PETROCHINA INTL (SG) PTE LTD,** COMPUTED TOTAL **,FINAL,0,-27246871.62,-29447490.62
31931,31931,1-Jan-20,GBP,-23.63,0,0,0,0,-23.63,0,-23.63,0,0,0,0,-23.63,-23.63,1.32475,-31.3,BRITISH POUNDS-LIFFE,PETROCHINA INTL (SG) PTE LTD,0,PETROCHINA INTL (SG) PTE LTD,** BRITISH POUNDS **,FINAL,0,-23.63,-23.63
31931,31931,1-Jan-20,USD,-26291349.82,0,0,0,0,-26291349.82,-955490.5,-27246840.32,0,2200619,2200619,0,-29447459.32,-27246840.32,1,-27246840.32,USD               SG,PETROCHINA INTL (SG) PTE LTD,0,PETROCHINA INTL (SG) PTE LTD,**US$ US EXCHANGES**,FINAL,0,-27246840.32,-29447459.32
31932,31932,1-Jan-20,{Conv Tot},9564098.35,0,0,0,0,9564098.35,-298825,9265273.35,0,143726,143726,0,9121547.35,9265273.35,1,9265273.35,Converted Total,PETROCHINA INTL (SG) PTE LTD,0,PETROCHINA INTL (SG) PTE LTD,** COMPUTED TOTAL **,FINAL,0,9265273.35,9121547.35
31932,31932,1-Jan-20,USD,9564098.35,0,0,0,0,9564098.35,-298825,9265273.35,0,143726,143726,0,9121547.35,9265273.35,1,9265273.35,USD               SG,PETROCHINA INTL (SG) PTE LTD,0,PETROCHINA INTL (SG) PTE LTD,**US$ US EXCHANGES**,FINAL,0,9265273.35,9121547.35
